,patent_id,assignee_sequence,organization,name_first,name_last,assignee_type,title,patent_date,assignee_country,assignee_city,assignee_state
0,11094486,0,COGNEX CORPORATION,,,2,Magnetic trigger arrangement,2021-08-17,US,Natick,MA
1,11562610,0,The Chamberlain Group LLC,,,2,System and method for facilitating access to a secured area,2023-01-24,US,Oak Brook,IL
2,5161899,0,"Firma Vorwald GmbH & Co., KG",,,3,"Bearing assembly for shafts, particularly expanding shafts of winding machines",1992-11-10,DE,Hilter,
3,5102991,0,"Virginia Tech Intellectual Properties, Inc.",,,2,Alkylene oxide esters of lignin sulfonic acid,1992-04-07,US,Blacksburg,VA
4,7937321,0,Verizon Patent and Licensing Inc.,,,2,Managed service for detection of anomalous transactions,2011-05-03,US,Basking Ridge,NJ
5,4033365,0,Johnson & Johnson,,,2,Flavored dental articles,1977-07-05,US,New Brunswick,NJ
6,D783342,0,Meyer Intellectual Property Limited,,,3,Cookware lid handle,2017-04-11,HK,Hong Kong,
7,4123023,0,General Motors Corporation,,,2,System for controlling vehicle movement over a fixed guideway,1978-10-31,US,Detroit,MI
8,6031729,0,TRW Inc.,,,2,Integral heater for reworking MCMS and other semiconductor components,2000-02-29,US,Redondo Beach,CA
9,11167757,0,DAIMLER AG,,,3,Method and device for controlling a longitudinal position of a vehicle,2021-11-09,DE,Stuttgart,
10,4103213,0,Emerson Electric Co.,,,2,Two speed single phase induction motor,1978-07-25,US,St. Louis,MO
11,3982586,0,Sid Richardson Carbon & Gasoline Co.,,,2,Method and apparatus for controlling surface temperature,1976-09-28,US,Fort Worth,TX
12,6626811,0,FAS Converting Machinery AB,,,3,Method and machine for working an elongate web of material,2003-09-30,SE,Ystad,
13,D831660,0,"KENU, INC.",,,2,Dashboard vent mount for an electronic device,2018-10-23,US,San Francisco,CA
14,10073421,0,"Rockwell Automation Technologies, Inc.",,,2,Predictive monitoring and diagnostics systems and methods,2018-09-11,US,Mayfield Heights,OH
15,10211365,0,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,,,7,Method for producing optoelectronic devices comprising light-emitting diodes,2019-02-19,FR,Paris,
16,10881185,0,AXILONE PLASTIQUE,,,3,Packaging for packaging a product such as a cosmetic composition,2021-01-05,FR,Auray,
17,10131512,0,"RICOH COMPANY, LTD.",,,3,Document feeder and image forming apparatus incorporating the document feeder,2018-11-20,JP,Tokyo,
18,D931163,0,Bayerische Motoren Werke Aktiengesellschaft,,,3,Front bumper for a vehicle,2021-09-21,DE,Munich,
19,5156914,0,ISP Investments Inc.,,,2,Process for producing particulate silicon encapsulated products,1992-10-20,US,Wilmington,DE
20,8670015,0,Canon Kabushiki Kaisha,,,3,"Semiconductor member, semiconductor article manufacturing method, and LED array using the manufacturing method",2014-03-11,JP,Tokyo,
21,11202628,0,Cilag GmbH International,,,3,Surgical stapler with tissue engagement features around tissue containment pin,2021-12-21,CH,Zug,
22,6538448,0,Teknoware Oy,,,3,Determining remaining operating life of fluorescent lamp,2003-03-25,FI,Lahti,
23,5214156,0,The Upjohn Company,,,2,Therapeutically useful tetralin derivatives,1993-05-25,US,Kalamazoo,MI
24,4222861,0,Nalco Chemical Company,,,2,Treatment and recovery of larger particles of fine oxidized coal,1980-09-16,US,Oak Brook,IL
25,7008909,0,Inolex Investment Corporation,,,2,Alpha branched esters for use in metalworking fluids and metalworking fluids containing such esters,2006-03-07,US,Wilmington,DE
26,11187204,0,SIEMENS GAMESA RENEWABLE ENERGY A/S,,,3,"Method for fabrication of a profile for a spar cap for a wind turbine blade, spar cap and wind turbine blade",2021-11-30,DK,Brande,
27,5547397,0,Honda Tsushin Kogyo Kabushiki Kaisha,,,3,PC card connector and PC card,1996-08-20,JP,Tokyo,
28,11302540,0,"SAMSUNG ELECTRONICS CO., LTD.",,,3,Substrate support device and substrate cleaning device including the same,2022-04-12,KR,Suwon-si,
29,7739889,0,Lonati S.p.A.,,,3,Circular knitting machine for hosiery or the like,2010-06-22,IT,Brescia,
30,5807923,0,Imperial Chemical Industries PLC,,,3,Process of emulsion polymerization,1998-09-15,GB,,
31,4688937,0,Gewerkschaft Eisenhutte Westfalia,,,3,"Methods of, and systems, for monitoring and/or controlling mobile cutting means",1987-08-25,DE,Kunen,
32,8887111,0,C2 Design Automation,,,2,Extraction and sharing in high level synthesis,2014-11-11,US,Redmond,WA
33,7971070,0,International Business Machines Corporation,,,2,Read/write media key block,2011-06-28,US,Armonk,NY
34,7118329,0,Rolls-Royce PLC,,,3,Tip sealing for a turbine rotor blade,2006-10-10,GB,London,
35,8958164,0,"LG Innotek Co., Ltd.",,,3,Imaging lens,2015-02-17,KR,Seoul,
36,7610581,0,"Hitachi, Ltd.",,,3,Data processing system,2009-10-27,JP,Tokyo,
37,5882771,0,Minnesota Mining and Manufacturing Company,,,2,Conformable embossable retroreflective sheeting,1999-03-16,US,St. Paul,MN
38,6629849,0,"Hon Hai Precision Ind. Co., Ltd.",,,3,Rotatably mated connector couple,2003-10-07,TW,Taipei Hsien,
39,4864642,0,Pioneer Electronic Corporation,,,3,Space diversity receiving system,1989-09-05,JP,Tokyo,
40,8720195,0,Deere & Company,,,2,Exhaust assembly,2014-05-13,US,Moline,IL
41,11614726,0,Honeywell International Inc.,,,6,Method and apparatus to identify connected device types on an I/O channel based on current characteristics,2023-03-28,US,Charlotte,NC
42,RE39353,0,Applera Corporation,,,2,Mass spectrometer system and method for matrix-assisted laser desorption measurements,2006-10-17,US,Framington,MA
43,9013918,0,"Institute of Microelectronics, Chinese Academy of Sciences",,,3,Two-terminal memory cell and semiconductor memory device based on different states of stable current,2015-04-21,CN,Beijing,
44,10749584,0,"Samsung Electronics Co., Ltd.",,,3,Uplink MIMO codebook for advanced wireless communication systems,2020-08-18,KR,Suwon-si,
45,5500096,0,Alliance Pharmaceutical Corp.,,,2,Method of concentrating less volatile liquids,1996-03-19,US,San Diego,CA
