,0
0,US9162460-0
1,US6665414-1
2,US7310766-0
3,US7190963-0
4,US10379638-0
5,US5094691-0
6,US6049435-0
7,US11142208-0
8,US7632995-0
9,US6806882-0
10,US10668274-0
11,US9511614-0
12,US10024294-0
13,USD554837-0
14,USD670976-0
15,US10116268-0
16,US5990589-0
17,US9479284-0
18,US6131904-0
19,US9373712-0
20,US9835553-0
21,US6706132-0
22,US11390291-0
23,US8252402-0
24,US7153181-0
25,US7414338-0
26,US9356959-0
27,US9695106-0
28,US8940242-0
29,US7551858-0
30,US5316250-0
31,US11232237-0
32,US4253359-0
33,US8403949-0
34,US9510195-0
35,US11137567-0
36,USD715524-0
37,US5948678-1
38,USD287657-0
39,US8830943-0
40,US5093073-0
41,US5154478-0
42,US7706222-0
43,US9383736-0
44,US9644359-0
45,US4575523-0
46,US7843034-0
47,US10484521-0
48,USD430876-0
49,US5626305-0
50,US8445015-0
51,US11292990-0
52,US10107049-0
53,US10924414-0
54,US5976120-0
55,US9449662-0
56,US9742938-0
57,US8248876-0
58,US9311073-0
59,US9371474-0
60,USD682928-0
61,US4049514-0
62,US4737351-0
63,US8775367-0
64,US9906821-0
65,US5129675-0
66,US5051895-0
67,US10080790-0
68,US6762315-0
69,US8807754-0
70,US9489608-0
71,US8366968-0
72,USD468105-0
73,US6412537-0
74,US6056045-0
75,US9185183-0
76,US7908462-0
77,US4537257-0
78,US6944447-0
79,US8493637-0
80,US4493976-0
81,US4878250-0
82,US4690815-0
83,US7045183-0
84,US5095730-0
85,USD594692-0
86,US6346238-0
87,US9327333-0
88,US7772578-0
89,US10824680-0
90,US8840511-0
91,US7751443-0
92,US7089711-0
93,US7278097-1
94,US10162226-0
95,US6744390-0
96,US10743747-0
97,US8571024-0
98,US9909773-0
99,US4410278-0
100,US5180218-0
101,US9406645-0
102,US4468478-0
103,US11367434-0
104,US6138309-0
105,US10828534-0
106,US6093559-0
107,US4211481-0
108,US6075346-1
109,US9310302-0
110,US8156579-0
111,USD855298-0
112,US11331671-0
113,US8405118-0
114,US6226483-0
115,US6708931-0
116,US6576341-1
117,US5852488-0
118,US8884491-0
119,US4266218-0
120,US8641390-0
121,US8623642-0
122,US8428462-0
123,US10933010-0
124,US5720091-0
125,US7689354-0
126,US5129751-0
127,US6533208-0
128,US4116029-0
129,US8094175-0
130,US9145197-0
131,US9149512-0
132,US6467912-0
133,US7597121-0
134,US4520074-0
135,US9505395-0
136,US4293628-0
137,US10957856-0
138,USD736670-0
139,US5515207-0
140,US8384651-0
141,US11094972-0
142,US4123207-0
143,US9107496-0
144,US8039822-0
145,US3939093-0
146,US4114926-0
147,US5615670-0
148,US10866184-0
149,USD437835-0
150,US9550257-0
151,US11403974-0
152,US10422256-1
153,US9613346-0
154,US11395557-0
155,US6104553-0
156,US5277864-0
157,US9685812-0
158,US9038501-0
159,US9035380-0
160,US11150252-1
161,US6524200-0
162,US7676880-0
163,US4592909-0
164,US8310440-0
165,US7309458-0
166,US5157021-0
167,US7351055-0
168,US11149629-0
169,US10967165-0
170,USD442478-0
171,US6295438-0
172,US4967138-0
173,US10782501-0
174,US5824365-0
175,US4013471-0
176,US10857822-0
177,US6801505-0
178,US4868089-0
179,US4819175-0
180,US6133773-0
181,US5703514-0
182,US4696079-0
183,USD755002-0
184,US7098834-0
185,US5898402-0
186,US6546359-0
187,USD680024-0
188,US11295761-0
189,US6138916-0
190,US8826595-0
191,US10633259-0
192,US3996357-0
193,US7580824-0
194,US6551113-0
195,US7023889-0
196,US3997029-0
197,US6457654-0
198,US4002937-0
199,US7363095-0
200,US9964958-0
201,US5495831-0
202,US9676106-0
203,US7694378-0
204,USD662428-0
205,US7183006-0
206,US7175719-0
207,US6835646-0
208,US9717963-0
209,US7615464-0
210,US5922838-1
211,US6135344-0
212,US10939054-0
213,US9488829-0
214,US5391314-0
215,US6609035-0
216,US5083298-0
217,US10728279-0
218,US4014928-0
219,US5089154-0
220,US10958488-0
221,US7175198-0
222,US11431275-0
223,US4145647-0
224,US5829060-0
225,US11450945-0
226,US6559682-0
227,US5206048-0
228,US8936875-0
229,US7187517-0
230,US8346238-0
231,US5907372-0
232,US10015606-0
233,US9479983-0
234,US10439027-0
235,US6450435-0
236,US6812717-0
237,USD411880-0
238,US5274261-0
239,US5820290-0
240,US5532093-0
241,US9097898-0
242,US5267969-0
243,US4429106-0
244,US5610231-0
245,US9576624-0
246,US4443745-0
247,US7497512-0
248,US9929924-0
249,USD384607-0
250,US7050916-0
251,US5641663-0
252,US6472201-0
253,US8947805-0
254,US7504376-0
255,US4696996-0
256,USD478169-0
257,US5707687-0
258,US7549950-0
259,US10668729-0
260,US7171661-0
261,US4041433-0
262,US3936480-0
263,US10625699-0
264,US6602730-0
265,USPP6711-0
266,US6139293-0
267,US11039165-0
268,US10795642-0
269,USD821422-0
270,US7598131-0
271,US6453442-0
272,US4563824-0
273,US8022902-0
274,US4203900-0
275,US9725399-2
276,US9914850-0
277,US7611882-0
278,US5602916-0
279,US9258448-0
280,US9490032-0
281,USD876737-0
282,US6876383-0
283,US7500345-0
284,US8408978-0
285,US6020236-0
286,US5241085-0
287,US4398269-0
288,US6334701-0
289,US9126990-0
290,US11037716-0
291,USD358283-0
292,US10162994-0
293,US8752722-0
294,US10839257-0
295,USD707558-0
296,US10937197-0
297,US9462820-0
298,US9408397-0
299,US6906571-0
300,US9354282-0
301,US5355520-0
302,US6479231-0
303,US8216719-0
304,USD814565-0
305,USD352350-0
306,US9061843-0
307,US9536507-1
308,US5403654-0
309,US4099860-0
310,US4015724-0
311,US10139163-0
312,US7278678-0
313,US5157486-0
314,US4841605-0
315,US10169303-0
316,US6373722-0
317,US9072470-1
318,US8851914-0
319,USD617302-0
320,US9466833-0
321,US7409265-0
322,US4392095-0
323,US11449808-0
324,US10649540-0
325,US11183168-0
326,US5805404-0
327,US8512674-0
328,US6827709-0
329,US5291317-0
330,US7252608-0
331,US8616620-0
332,US8223805-0
333,US10969866-0
334,US10293839-0
335,US8016719-0
336,USD560243-0
337,US6860978-0
338,US4381415-0
339,US6310931-0
340,US8272300-0
341,US4337980-0
342,US7016711-0
343,US7232415-0
344,US9544132-0
345,US5025450-0
346,USD462318-0
347,US8488187-0
348,US6228465-0
349,US9503989-0
350,US6641168-0
351,US6510820-0
352,US9445588-0
353,US10008589-0
354,US3992502-0
355,US7148773-0
356,US8495290-0
357,US7547280-0
358,US5939500-0
359,US4982908-0
360,US6224830-0
361,US8971171-0
362,US9357080-0
363,USD834925-0
364,US7327641-0
365,US8585052-0
366,US3987908-0
367,US7027459-0
368,US9031309-0
369,US4509944-0
370,US6967329-0
371,US9932777-0
372,US9132966-0
373,US8762279-0
374,US6739828-0
375,US6645194-0
376,US5446926-0
377,USD405524-0
378,US8408707-0
379,US8240354-0
380,US6114290-0
381,US8284848-0
382,US10670541-0
383,US5617168-0
384,US6134342-0
385,US4998565-0
386,US7235725-0
387,US6265782-0
388,US7000490-0
389,US6893588-0
390,US5510664-1
391,US4979708-0
392,US8260302-0
393,US5162944-0
394,US7619050-0
395,US8784150-0
396,US4100921-0
397,US9746330-0
398,US10198922-0
399,US11056778-0
400,US7232571-0
401,US6610133-0
402,US11141019-0
403,US9170759-0
404,USD962435-0
405,US5881069-0
406,US6743412-0
407,US7170464-0
408,US5272677-0
409,US4153890-0
410,US8786392-0
411,US11279397-0
412,US8394775-0
413,US10108889-0
414,US5717081-0
415,US9831490-0
416,USD550288-0
417,US8158424-0
418,US6551877-0
419,US10799795-0
420,US5058570-0
421,USD257563-0
422,US7510912-0
423,US11127195-0
424,US4919689-0
425,US5215114-0
426,US7802310-0
427,US7360272-0
428,US6732582-0
429,US9799396-0
430,US7239241-0
431,USD927398-0
432,US5249029-0
433,US7767123-0
434,USD451734-0
435,US8031137-0
436,USD448984-0
437,US9820530-0
438,US4242449-0
439,US8836582-0
440,US6364690-0
441,US3936580-0
442,USD640403-0
443,US10767727-0
444,USD938454-0
445,US11370411-0
446,US7615473-0
447,US7157748-0
448,US10134782-0
449,US6760136-0
450,US5970408-0
451,US6667551-0
452,US8036151-0
453,US7537249-0
454,US10621937-0
455,US7934163-0
456,US5878847-0
457,US9998182-0
458,US11401481-0
459,US5748346-0
460,USD681391-0
461,US8256940-0
462,US10673112-0
463,US6697079-0
464,US5348351-0
465,USD751719-0
466,US9376375-0
467,US8505743-0
468,US5924047-0
469,US5452408-0
470,US8689239-0
471,US7981785-0
472,US7615097-0
473,US5926308-0
474,US10225552-0
475,US5360783-0
476,US9600062-0
477,US8413624-0
478,US6238751-0
479,US6687215-0
480,US7205100-0
481,US5366399-0
482,US10420926-0
483,US7577140-0
484,US10935996-0
485,US4862457-0
486,US9429721-0
487,US5480605-0
488,US9805083-0
489,US10850488-0
490,US10128134-0
491,US8868127-0
492,US9789555-0
493,US10974331-0
494,US5953620-0
495,US10741166-0
496,US5451413-0
497,US4762507-0
498,US10787019-0
499,USD524097-0
500,US5084216-0
501,US11099438-0
502,US4911222-0
503,US9548119-0
504,US8768382-0
505,US10596417-0
506,US11292421-0
507,US8733896-0
508,US8937847-0
509,USRE42294-0
510,US8415478-0
511,US9829818-0
512,USD617625-0
513,US5612740-0
514,US7064332-0
515,US4767492-0
516,US6417263-0
517,US7103511-0
518,US8655008-0
519,US7814165-0
520,US7275771-0
521,US10811868-0
522,US4610250-0
523,USD795601-0
524,US11041300-0
525,US11274749-0
526,US9534722-0
527,US5829734-0
528,US4114192-0
529,US4075478-0
530,US10461670-0
531,US5588888-0
532,US6760621-0
533,US10758372-0
534,US6106428-0
535,US8630770-0
536,US10913732-0
537,US7742130-0
538,US8284689-0
539,US9349042-0
540,US7520424-0
541,USD284505-0
542,US11109279-0
543,US6845014-0
544,US10710118-0
545,US6503398-0
546,US8285149-0
547,US4236456-0
548,US10975458-0
549,US10975131-0
550,US10903197-0
551,US11062868-0
552,US7915501-0
553,US8559729-0
554,US5206401-0
555,US10010962-0
556,US5394481-0
557,US7162495-0
558,US4992526-0
559,US6844359-0
560,US9139376-0
561,US9181884-0
562,US9229897-0
563,US8503788-0
564,US4203341-0
565,US4689494-0
566,USD318245-0
567,US6212632-0
568,US4618986-0
569,US10135013-0
570,US10279998-0
571,US7766390-0
572,US8296758-0
573,US4870576-0
574,US6255900-0
575,US9257372-0
576,US10874027-0
577,US5881381-0
578,US5019214-0
579,US11340810-0
580,US8239734-0
581,US4548697-0
582,US7536473-0
583,US7684921-0
584,USD505744-0
585,US4710069-0
586,US5603303-0
587,US8718393-0
588,US6008179-0
589,US8923616-0
590,US6323797-0
591,US9106654-0
592,US5769350-0
593,USD919676-0
594,US8936244-0
595,US8428805-0
596,US6904501-0
597,US7666347-0
598,US8698308-0
599,US11210199-0
600,US5528905-0
601,US8141950-0
602,USD596140-0
603,US10130205-0
604,US5493187-0
605,US5685989-0
606,US11413968-0
607,USPP17984-0
608,US10401874-0
609,US9275253-0
610,US5314458-0
611,US7453292-0
612,US9615836-0
613,US8053931-0
614,US10486061-0
615,US9657781-0
616,US8709643-0
617,US9449653-0
618,US4537724-0
619,US4379186-0
620,US4961685-0
621,USD671779-0
622,US9337280-0
623,USD878693-0
624,US6825770-0
625,US4888129-0
626,US7899965-0
627,US4483504-0
628,US5176203-0
629,US9107599-0
630,US6462766-0
631,US8094541-0
632,US10252756-0
633,US5001338-0
634,US6358270-0
635,US11081201-0
636,US9877425-0
637,US10048933-0
638,US6661777-0
639,US10906951-0
640,US8097990-0
641,US7734790-0
642,US9595176-0
643,US8597528-0
644,USD864757-0
645,US5849721-0
646,US11219361-0
647,US11287025-0
648,USD703066-0
649,US4910233-0
650,USD327249-0
651,US8381207-0
652,USD578504-0
653,US9865132-0
654,US5942003-0
655,US5415207-0
656,US7030159-0
657,US11293486-0
658,US6991201-0
659,US4843539-0
660,US7647979-0
661,US8075107-0
662,US10856015-0
663,US8475156-0
664,US4521182-0
665,US7689495-0
666,US6344452-0
667,US4439805-0
668,US7215636-0
669,US6028944-0
670,US6251415-0
671,US4775921-0
672,US7025575-0
673,US5516301-0
674,US11039791-0
675,US10487039-0
676,US8798311-0
677,USPP9683-0
678,US7842188-0
679,US7823773-0
680,US7586196-0
681,US7134241-0
682,US8446576-0
683,US5626866-0
